ride_id,ride_name,event_datetime,person_id,first_name,last_name,gender,age,height,job
524,Minor's Revenge,2023-09-25 4:28:28,10063,Adira,Sikhunyana,Woman,40,190,"Buyer, industrial"
524,Minor's Revenge,2023-09-25 4:28:28,10073,Zachary,Sur,Non-binary/non-conforming,31,146,Advertising art director
524,Minor's Revenge,2023-09-25 4:28:28,10151,Tanya,Sibaya,Woman,28,161,Psychiatric nurse
524,Minor's Revenge,2023-09-25 4:28:28,10183,Tyler,Kashyap,Man,70,171,Broadcast engineer
524,Minor's Revenge,2023-09-25 4:28:28,10261,Patricia,Richardson,Woman,82,185,"Therapist, music"
524,Minor's Revenge,2023-09-25 4:28:28,10301,Jodi,Campbell,Man,18,177,Research scientist (medical)
524,Minor's Revenge,2023-09-25 4:28:28,10316,Kenneth,Owens,Transgender,60,169,Sport and exercise psychologist
524,Minor's Revenge,2023-09-25 4:28:28,10327,Martha,Sosa,Prefer not to respond,76,144,"Scientist, physiological"
524,Minor's Revenge,2023-09-25 4:28:28,10349,Vaibhav,Henderson,Prefer not to respond,38,165,Cartographer
524,Minor's Revenge,2023-09-25 4:28:28,10350,Terri,Shange,Woman,26,140,Theatre director
524,Minor's Revenge,2023-09-25 4:28:28,10396,Andrew,Batta,Prefer not to respond,19,169,Higher education lecturer
524,Minor's Revenge,2023-09-25 4:28:28,10408,Becky,Mcambe,Prefer not to respond,62,142,Hydrogeologist
524,Minor's Revenge,2023-09-25 4:28:28,10424,Paula,Lubelo,Prefer not to respond,47,176,Architect
524,Minor's Revenge,2023-09-25 4:28:28,10452,Lavanya,Hernandez,Non-binary/non-conforming,72,153,Housing manager/officer
524,Minor's Revenge,2023-09-25 4:28:28,10483,Anita,Davis,Prefer not to respond,20,162,Tourism officer
524,Minor's Revenge,2023-09-25 4:28:28,10542,Jesse,Mashimane,Prefer not to respond,18,145,Arts development officer
524,Minor's Revenge,2023-09-25 4:28:28,10572,Nonjabulo,Motha,Transgender,84,189,Research scientist (maths)
524,Minor's Revenge,2023-09-25 4:28:28,10595,Jay,Sibeko,Prefer not to respond,89,155,Financial adviser
524,Minor's Revenge,2023-09-25 4:28:28,10653,Todd,Grover,Transgender,42,155,Academic librarian
524,Minor's Revenge,2023-09-25 4:28:28,10691,Nomusa,Mcanco,Prefer not to respond,66,173,Ceramics designer
524,Minor's Revenge,2023-09-25 4:28:28,10716,Khanyisile,Bora,Prefer not to respond,20,179,Printmaker
524,Minor's Revenge,2023-09-25 4:28:28,10719,Stephanie,Ramachandran,Woman,27,173,"Engineer, electrical"
524,Minor's Revenge,2023-09-25 4:28:28,10739,Amy,Vargas,Man,70,149,Personnel officer
524,Minor's Revenge,2023-09-25 4:28:28,10762,Kristie,Bhatti,Woman,44,153,Patent examiner
524,Minor's Revenge,2023-09-25 4:28:28,10783,Jonathan,Golden,Man,62,153,Television floor manager
524,Minor's Revenge,2023-09-25 4:28:28,10808,Nishith,Banik,Non-binary/non-conforming,65,159,Manufacturing engineer
524,Minor's Revenge,2023-09-25 4:28:28,10813,Veer,Silva,Prefer not to respond,54,160,Arts administrator
524,Minor's Revenge,2023-09-25 4:28:28,10824,Sierra,Perez,Woman,71,146,Air cabin crew
524,Minor's Revenge,2023-09-25 4:28:28,10842,Colleen,Venkataraman,Transgender,34,165,"Copywriter, advertising"
524,Minor's Revenge,2023-09-25 4:28:28,10869,Thandiwe,Raman,Woman,59,147,Network engineer
524,Minor's Revenge,2023-09-25 4:28:28,10884,David,Martin,Man,64,142,Chartered management accountant
524,Minor's Revenge,2023-09-25 4:28:28,10890,Arnav,Nodlomo,Man,63,175,"Teacher, early years/pre"
