ride_id,ride_name,event_datetime,person_id,first_name,last_name,gender,age,height_raw,job,shoe boost,
524,Minor's Revenge,2023-09-25 4:28:28,10063,Adira,Sikhunyana,Woman,40,190cm,"Buyer, industrial",10,
524,Minor's Revenge,2023-09-25 4:28:28,10073,Zachary,Sur,Non-binary/non-conforming,31,146cm,Advertising art director,7,
524,Minor's Revenge,2023-09-25 4:28:28,10151,Tanya,Sibaya,Woman,28,161cm,Psychiatric nurse,7,
524,Minor's Revenge,2023-09-25 4:28:28,10183,Tyler,Kashyap,Man,70,171cm,Broadcast engineer,3,
524,Minor's Revenge,2023-09-25 4:28:28,10261,Patricia,Richardson,Woman,82,185cm,"Therapist, music",2,
524,Minor's Revenge,2023-09-25 4:28:28,10301,Jodi,Campbell,Man,18,177cm,Research scientist (medical),8,
524,Minor's Revenge,2023-09-25 4:28:28,10316,Kenneth,Owens,Transgender,60,169cm,Sport and exercise psychologist,6,
524,Minor's Revenge,2023-09-25 4:28:28,10327,Martha,Sosa,Prefer not to respond,76,144cm,"Scientist, physiological",12,
524,Minor's Revenge,2023-09-25 4:28:28,10349,Vaibhav,Henderson,Prefer not to respond,38,165cm,Cartographer,3,
524,Minor's Revenge,2023-09-25 4:28:28,10350,Terri,Shange,Woman,26,140cm,Theatre director,1,
524,Minor's Revenge,2023-09-25 4:28:28,10396,Andrew,Batta,Prefer not to respond,19,169cm,Higher education lecturer,6,
524,Minor's Revenge,2023-09-25 4:28:28,10408,Becky,Mcambe,Prefer not to respond,62,142cm,Hydrogeologist,11,
524,Minor's Revenge,2023-09-25 4:28:28,10424,Paula,Lubelo,Prefer not to respond,47,176cm,Architect,2,
524,Minor's Revenge,2023-09-25 4:28:28,10452,Lavanya,Hernandez,Non-binary/non-conforming,72,153cm,Housing manager/officer,3,
524,Minor's Revenge,2023-09-25 4:28:28,10483,Anita,Davis,Prefer not to respond,20,162cm,Tourism officer,9,
524,Minor's Revenge,2023-09-25 4:28:28,10542,Jesse,Mashimane,Prefer not to respond,18,145cm,Arts development officer,2,
524,Minor's Revenge,2023-09-25 4:28:28,10572,Nonjabulo,Motha,Transgender,84,189cm,Research scientist (maths),12,
524,Minor's Revenge,2023-09-25 4:28:28,10595,Jay,Sibeko,Prefer not to respond,89,155cm,Financial adviser,10,
524,Minor's Revenge,2023-09-25 4:28:28,10653,Todd,Grover,Transgender,42,155cm,Academic librarian,1,
524,Minor's Revenge,2023-09-25 4:28:28,10691,Nomusa,Mcanco,Prefer not to respond,66,173cm,Ceramics designer,4,
524,Minor's Revenge,2023-09-25 4:28:28,10716,Khanyisile,Bora,Prefer not to respond,20,179cm,Printmaker,2,
524,Minor's Revenge,2023-09-25 4:28:28,10719,Stephanie,Ramachandran,Woman,27,173cm,"Engineer, electrical",6,
524,Minor's Revenge,2023-09-25 4:28:28,10739,Amy,Vargas,Man,70,149cm,Personnel officer,8,
524,Minor's Revenge,2023-09-25 4:28:28,10762,Kristie,Bhatti,Woman,44,153cm,Patent examiner,8,
524,Minor's Revenge,2023-09-25 4:28:28,10783,Jonathan,Golden,Man,62,153cm,Television floor manager,1,
524,Minor's Revenge,2023-09-25 4:28:28,10808,Nishith,Banik,Non-binary/non-conforming,65,159cm,Manufacturing engineer,6,
524,Minor's Revenge,2023-09-25 4:28:28,10813,Veer,Silva,Prefer not to respond,54,160cm,Arts administrator,11,
524,Minor's Revenge,2023-09-25 4:28:28,10824,Sierra,Perez,Woman,71,146cm,Air cabin crew,11,
524,Minor's Revenge,2023-09-25 4:28:28,10842,Colleen,Venkataraman,Transgender,34,165cm,"Copywriter, advertising",7,
524,Minor's Revenge,2023-09-25 4:28:28,10869,Thandiwe,Raman,Woman,59,147cm,Network engineer,7,
524,Minor's Revenge,2023-09-25 4:28:28,10884,David,Martin,Man,64,142cm,Chartered management accountant,11,
524,Minor's Revenge,2023-09-25 4:28:28,10890,Arnav,Nodlomo,Man,63,175cm,"Teacher, early years/pre",3,
524,Minor's Revenge,2023-09-25 4:28:28,10894,Rhea,Johnson,Prefer not to respond,26,169cm,Photographer,9,
